season,sport,division,stage,rank,team,team_name,wins,losses,points,details,mvp,rookie,source
2000-2001,Volleyball,Men's,Final Standings,4,DLSU,De La Salle University,9,5,,Fourth place,Clarence T. Esteban (UST),Jodel Winston M. Escano (UST),"IMG_1219, IMG_1220"
2000-2001,Volleyball,Men's,Final Standings,5,AdU,Adamson University,9,5,,Fifth place,Clarence T. Esteban (UST),Jodel Winston M. Escano (UST),"IMG_1219, IMG_1220"
2000-2001,Volleyball,Men's,Final Standings,6,UP,University of the Philippines,8,6,,Sixth place,Clarence T. Esteban (UST),Jodel Winston M. Escano (UST),"IMG_1219, IMG_1220"
2000-2001,Volleyball,Men's,Final Standings,7,UE,University of the East,5,9,,Seventh place,Clarence T. Esteban (UST),Jodel Winston M. Escano (UST),"IMG_1219, IMG_1220"
2000-2001,Volleyball,Men's,Final Standings,8,ADMU,Ateneo de Manila University,2,12,,Eighth place,Clarence T. Esteban (UST),Jodel Winston M. Escano (UST),"IMG_1219, IMG_1220"
2000-2001,Volleyball,Women's,Final Standings,1,FEU,Far Eastern University,12,2,,Most Valuable Player:,Ailyn C. Ege (FEU),Beverly G. Benin (FEU),IMG_1227
2000-2001,Volleyball,Women's,Final Standings,2,DLSU,De La Salle University,11,3,,Best Spiker :,Ailyn C. Ege (FEU),Beverly G. Benin (FEU),IMG_1227
2000-2001,Volleyball,Women's,Final Standings,3,AdU,Adamson University,10,4,,,Ailyn C. Ege (FEU),Beverly G. Benin (FEU),IMG_1227
2000-2001,Volleyball,Women's,Final Standings,4,UST,University of Santo Tomas,10,4,,,Ailyn C. Ege (FEU),Beverly G. Benin (FEU),IMG_1227
2000-2001,Volleyball,Women's,Final Standings,5,UE,University of the East,6,8,,,Ailyn C. Ege (FEU),Beverly G. Benin (FEU),IMG_1227
2000-2001,Volleyball,Women's,Final Standings,6,UP,University of the Philippines,5,9,,,Ailyn C. Ege (FEU),Beverly G. Benin (FEU),IMG_1227
2000-2001,Volleyball,Women's,Final Standings,7,NU,National University,2,12,,,Ailyn C. Ege (FEU),Beverly G. Benin (FEU),IMG_1227
2000-2001,Volleyball,Women's,Final Standings,8,ADMU,Ateneo de Manila University,0,14,,,Ailyn C. Ege (FEU),Beverly G. Benin (FEU),IMG_1227
1999-2000,Badminton,Men's,Final Standings,1,UP,University of the Philippines,7,0,,Champion,Lloyd Escoses (FEU),,IMG_0940
1999-2000,Badminton,Men's,Final Standings,2,FEU,Far Eastern University,6,1,,Runner-up,Lloyd Escoses (FEU),,IMG_0940
1999-2000,Badminton,Men's,Final Standings,3,UE,University of the East,5,2,,,Lloyd Escoses (FEU),,IMG_0940
1999-2000,Badminton,Men's,Final Standings,4,ADMU,Ateneo de Manila University,4,3,,Fourth place,Lloyd Escoses (FEU),,IMG_0940
1999-2000,Badminton,Men's,Final Standings,5,UST,University of Santo Tomas,4,3,,Fifth place,Lloyd Escoses (FEU),,IMG_0940
1999-2000,Badminton,Men's,Final Standings,6,DLSU,De La Salle University,2,5,,Sixth place,Lloyd Escoses (FEU),,IMG_0940
1999-2000,Badminton,Men's,Final Standings,7,NU,National University,1,6,,Seventh place,Lloyd Escoses (FEU),,IMG_0940
1999-2000,Badminton,Men's,Final Standings,8,AdU,Adamson University,0,7,,Eighth place,Lloyd Escoses (FEU),,IMG_0940
1999-2000,Baseball,Men's,Final Standings,1,DLSU,De La Salle University,9,1,,Champion,Sebastian Ledesma (DLSU),Peter Paul Dimal (DLSU),IMG_0955
1999-2000,Baseball,Men's,Final Standings,2,UP,University of the Philippines,7,2,,1,Sebastian Ledesma (DLSU),Peter Paul Dimal (DLSU),IMG_0955
1999-2000,Baseball,Men's,Final Standings,3,UST,University of Santo Tomas,6,4,,Third place,Sebastian Ledesma (DLSU),Peter Paul Dimal (DLSU),IMG_0955
1999-2000,Baseball,Men's,Final Standings,4,NU,National University,4,5,,Fourth place,Sebastian Ledesma (DLSU),Peter Paul Dimal (DLSU),IMG_0955
1999-2000,Baseball,Men's,Final Standings,5,AdU,Adamson University,4,6,,Fifth place,Sebastian Ledesma (DLSU),Peter Paul Dimal (DLSU),IMG_0955
1999-2000,Baseball,Men's,Final Standings,6,ADMU,Ateneo de Manila University,0,10,,Sixth place,Sebastian Ledesma (DLSU),Peter Paul Dimal (DLSU),IMG_0955
1999-2000,Basketball,Juniors,Final Standings,1,ADMU,Ateneo de Manila University,14,1,,Champion,Larry Alexander N. Fonacier (ADMU),,"IMG_1042, IMG_1046"
1999-2000,Basketball,Juniors,Final Standings,2,AdU,Adamson University,11,6,,Guard/Forward,Larry Alexander N. Fonacier (ADMU),,"IMG_1042, IMG_1046"
1999-2000,Basketball,Juniors,Final Standings,3,UST,University of Santo Tomas,10,5,,Third place,Larry Alexander N. Fonacier (ADMU),,"IMG_1042, IMG_1046"
1999-2000,Basketball,Juniors,Final Standings,4,DLSU,De La Salle University,7,6,,,Larry Alexander N. Fonacier (ADMU),,"IMG_1042, IMG_1046"
1999-2000,Basketball,Juniors,Final Standings,4,DLSZ,De La Salle Santiago Zobel School,,,,Fourth place,Larry Alexander N. Fonacier (ADMU),,"IMG_1042, IMG_1046"
1999-2000,Basketball,Juniors,Final Standings,5,UP,University of the Philippines,4,8,,Fifth place,Larry Alexander N. Fonacier (ADMU),,"IMG_1042, IMG_1046"
1999-2000,Basketball,Juniors,Final Standings,6,NU,National University,2,10,,Sixth place,Larry Alexander N. Fonacier (ADMU),,"IMG_1042, IMG_1046"
1999-2000,Basketball,Juniors,Final Standings,7,UE,University of the East,0,12,,Seventh place,Larry Alexander N. Fonacier (ADMU),,"IMG_1042, IMG_1046"
1999-2000,Basketball,Men's,Final Standings,1,ADMU,Ateneo de Manila University,,,,,,,structured/basketball/1999-2000.json
1999-2000,Basketball,Men's,Final Standings,2,AdU,Adamson University,,,,,,,structured/basketball/1999-2000.json
1999-2000,Basketball,Men's,Final Standings,3,UST,University of Santo Tomas,,,,,,,structured/basketball/1999-2000.json
1999-2000,Basketball,Men's,Final Standings,4,UE,University of the East,,,,,,,structured/basketball/1999-2000.json
1999-2000,Chess,Juniors,Final Standings,1,ADMU,Ateneo de Manila University,,,31,Champion,Leonard Reyes (ADMU),Ray Albano (UE),IMG_1056
1999-2000,Chess,Juniors,Final Standings,2,AdU,Adamson University,,,28.5,RUNNER-UP,Leonard Reyes (ADMU),Ray Albano (UE),IMG_1056
1999-2000,Chess,Juniors,Final Standings,3,UE,University of the East,,,24.5,Third place,Leonard Reyes (ADMU),Ray Albano (UE),IMG_1056
1999-2000,Chess,Juniors,Final Standings,4,NU,National University,,,17,Fourth place,Leonard Reyes (ADMU),Ray Albano (UE),IMG_1056
1999-2000,Chess,Juniors,Final Standings,5,UST,University of Santo Tomas,,,13.5,Fifth place,Leonard Reyes (ADMU),Ray Albano (UE),IMG_1056
1999-2000,Chess,Juniors,Final Standings,6,DLSU,De La Salle University,,,5,,Leonard Reyes (ADMU),Ray Albano (UE),IMG_1056
1999-2000,Chess,Juniors,Final Standings,6,DLSZ,De La Salle Santiago Zobel School,,,,Sixth place,Leonard Reyes (ADMU),Ray Albano (UE),IMG_1056
1999-2000,Chess,Men's,Final Standings,1,DLSU,De La Salle University,,,41.5,Champion,Randy Segarra (DLSU),Roland Salvador (UST),IMG_0986
1999-2000,Chess,Men's,Final Standings,2,UP,University of the Philippines,,,35,"Castellano, Christopher",Randy Segarra (DLSU),Roland Salvador (UST),IMG_0986
1999-2000,Chess,Men's,Final Standings,3,UST,University of Santo Tomas,,,33.5,Third place,Randy Segarra (DLSU),Roland Salvador (UST),IMG_0986
1999-2000,Chess,Men's,Final Standings,4,UE,University of the East,,,28.5,Fourth place,Randy Segarra (DLSU),Roland Salvador (UST),IMG_0986
1999-2000,Chess,Men's,Final Standings,5,AdU,Adamson University,,,27,Fifth place,Randy Segarra (DLSU),Roland Salvador (UST),IMG_0986
1999-2000,Chess,Men's,Final Standings,6,FEU,Far Eastern University,,,26,Sixth place,Randy Segarra (DLSU),Roland Salvador (UST),IMG_0986
1999-2000,Chess,Men's,Final Standings,7,ADMU,Ateneo de Manila University,,,23,Seventh place,Randy Segarra (DLSU),Roland Salvador (UST),IMG_0986
1999-2000,Chess,Men's,Final Standings,8,NU,National University,,,9.5,Eighth place,Randy Segarra (DLSU),Roland Salvador (UST),IMG_0986
1999-2000,Chess,Women's,Final Standings,1,UE,University of the East,,,34.5,Champion,Mary Grace Castro (UE),Pearl Dela Cruz (UST),"IMG_0989, IMG_0990"
1999-2000,Chess,Women's,Final Standings,2,FEU,Far Eastern University,,,29.5,"Cruz, Jennifer",Mary Grace Castro (UE),Pearl Dela Cruz (UST),"IMG_0989, IMG_0990"
1999-2000,Chess,Women's,Final Standings,3,UST,University of Santo Tomas,,,27,Third place,Mary Grace Castro (UE),Pearl Dela Cruz (UST),"IMG_0989, IMG_0990"
1999-2000,Chess,Women's,Final Standings,4,AdU,Adamson University,,,25.5,Fourth place,Mary Grace Castro (UE),Pearl Dela Cruz (UST),"IMG_0989, IMG_0990"
1999-2000,Chess,Women's,Final Standings,5,UP,University of the Philippines,,,21.5,Fifth place,Mary Grace Castro (UE),Pearl Dela Cruz (UST),"IMG_0989, IMG_0990"
1999-2000,Chess,Women's,Final Standings,6,DLSU,De La Salle University,,,18,Sixth place,Mary Grace Castro (UE),Pearl Dela Cruz (UST),"IMG_0989, IMG_0990"
1999-2000,Chess,Women's,Final Standings,7,ADMU,Ateneo de Manila University,,,12,Seventh place,Mary Grace Castro (UE),Pearl Dela Cruz (UST),"IMG_0989, IMG_0990"
1999-2000,Fencing,Men's,Final Standings,1,DLSU,De La Salle University,0,,,Champion,Ramil Endriano (DLSU),,"IMG_1031, IMG_1032, IMG_1033, IMG_1034, IMG_1035, IMG_1036"
1999-2000,Fencing,Men's,Final Standings,3,UP,University of the Philippines,2,,,Third place,Ramil Endriano (DLSU),,"IMG_1031, IMG_1032, IMG_1033, IMG_1034, IMG_1035, IMG_1036"
1999-2000,Fencing,Men's,Final Standings,4,ADMU,Ateneo de Manila University,1,,,Fourth place,Ramil Endriano (DLSU),,"IMG_1031, IMG_1032, IMG_1033, IMG_1034, IMG_1035, IMG_1036"
1999-2000,Fencing,Men's,Final Standings,5,UE,University of the East,2,,,PADILLA Andrew,Ramil Endriano (DLSU),,"IMG_1031, IMG_1032, IMG_1033, IMG_1034, IMG_1035, IMG_1036"
1999-2000,Fencing,Men's,Final Standings,5,FEU,Far Eastern University,0,,,Fifth place,Ramil Endriano (DLSU),,"IMG_1031, IMG_1032, IMG_1033, IMG_1034, IMG_1035, IMG_1036"
1999-2000,Fencing,Men's,Final Standings,6,UST,University of Santo Tomas,0,,,Sixth place,Ramil Endriano (DLSU),,"IMG_1031, IMG_1032, IMG_1033, IMG_1034, IMG_1035, IMG_1036"
1999-2000,Fencing,Women's,Final Standings,1,UP,University of the Philippines,4,,,Champion,Elizabeth Pil (UP),,"IMG_1031, IMG_1037, IMG_1039, IMG_1040"
1999-2000,Fencing,Women's,Final Standings,2,ADMU,Ateneo de Manila University,3,,,SARA Jaquelynne,Elizabeth Pil (UP),,"IMG_1031, IMG_1037, IMG_1039, IMG_1040"
1999-2000,Fencing,Women's,Final Standings,3,UE,University of the East,4,,,Third place,Elizabeth Pil (UP),,"IMG_1031, IMG_1037, IMG_1039, IMG_1040"
1999-2000,Fencing,Women's,Final Standings,4,FEU,Far Eastern University,0,,,Fourth place,Elizabeth Pil (UP),,"IMG_1031, IMG_1037, IMG_1039, IMG_1040"
1999-2000,Fencing,Women's,Final Standings,5,DLSU,De La Salle University,2,,,Fifth place,Elizabeth Pil (UP),,"IMG_1031, IMG_1037, IMG_1039, IMG_1040"
1999-2000,Fencing,Women's,Final Standings,6,UST,University of Santo Tomas,1,,,Sixth place,Elizabeth Pil (UP),,"IMG_1031, IMG_1037, IMG_1039, IMG_1040"
1999-2000,Football,Men's,Final Standings,1,UST,University of Santo Tomas,10,2,1,Champion,Randy Bela (UST),Ariel Zerrudo (UP),IMG_0993
1999-2000,Football,Men's,Final Standings,2,FEU,Far Eastern University,7,2,4,74,Randy Bela (UST),Ariel Zerrudo (UP),IMG_0993
1999-2000,Football,Men's,Final Standings,3,UP,University of the Philippines,7,1,4,Third place,Randy Bela (UST),Ariel Zerrudo (UP),IMG_0993
1999-2000,Football,Men's,Final Standings,4,DLSU,De La Salle University,6,2,4,Fourth place,Randy Bela (UST),Ariel Zerrudo (UP),IMG_0993
1999-2000,Football,Men's,Final Standings,5,ADMU,Ateneo de Manila University,5,4,3,Fifth place,Randy Bela (UST),Ariel Zerrudo (UP),IMG_0993
1999-2000,Football,Men's,Final Standings,6,UE,University of the East,2,1,9,Sixth place,Randy Bela (UST),Ariel Zerrudo (UP),IMG_0993
1999-2000,Football,Men's,Final Standings,7,AdU,Adamson University,0,0,12,Seventh place,Randy Bela (UST),Ariel Zerrudo (UP),IMG_0993
1999-2000,Football,Women's,Final Standings,1,DLSU,De La Salle University,4,5,0,Champion,Marielle Benitez (DLSU),Andrea Barandiaran (DLSU),IMG_0996
1999-2000,Football,Women's,Final Standings,2,UST,University of Santo Tomas,3,4,2,6,Marielle Benitez (DLSU),Andrea Barandiaran (DLSU),IMG_0996
1999-2000,Football,Women's,Final Standings,3,FEU,Far Eastern University,3,3,2,Third place,Marielle Benitez (DLSU),Andrea Barandiaran (DLSU),IMG_0996
1999-2000,Football,Women's,Final Standings,4,UP,University of the Philippines,2,5,1,Fourth place,Marielle Benitez (DLSU),Andrea Barandiaran (DLSU),IMG_0996
1999-2000,Football,Women's,Final Standings,5,ADMU,Ateneo de Manila University,0,1,7,Fifth place,Marielle Benitez (DLSU),Andrea Barandiaran (DLSU),IMG_0996
1999-2000,General Championship,junior,Final Standings,1,UST,University of Santo Tomas,,,84,,,,structured/overall_standings/1999-2000.json
1999-2000,General Championship,junior,Final Standings,2,ADMU,Ateneo de Manila University,,,77,,,,structured/overall_standings/1999-2000.json
1999-2000,General Championship,junior,Final Standings,3,DLSU,De La Salle University,,,73,,,,structured/overall_standings/1999-2000.json
1999-2000,General Championship,junior,Final Standings,4,AdU,Adamson University,,,65,,,,structured/overall_standings/1999-2000.json
1999-2000,General Championship,junior,Final Standings,5,UE,University of the East,,,57,,,,structured/overall_standings/1999-2000.json
1999-2000,General Championship,junior,Final Standings,6,UP,University of the Philippines,,,54,,,,structured/overall_standings/1999-2000.json
1999-2000,General Championship,junior,Final Standings,7,NU,National University,,,20,,,,structured/overall_standings/1999-2000.json
1999-2000,General Championship,junior,Final Standings,8,FEU,Far Eastern University,,,0,,,,structured/overall_standings/1999-2000.json
1999-2000,Judo,Men's,Final Standings,1,UST,University of Santo Tomas,4,,,Champion,Paolo Vitug (UST),,"IMG_0998, IMG_0999"
1999-2000,Judo,Men's,Final Standings,1,UP,University of the Philippines,3,,,W,Paolo Vitug (UST),,"IMG_0998, IMG_0999"
1999-2000,Judo,Men's,Final Standings,3,DLSU,De La Salle University,2,,,Third place,Paolo Vitug (UST),,"IMG_0998, IMG_0999"
1999-2000,Judo,Men's,Final Standings,4,UE,University of the East,1,,,Fourth place,Paolo Vitug (UST),,"IMG_0998, IMG_0999"
1999-2000,Judo,Men's,Final Standings,5,ADMU,Ateneo de Manila University,0,,,Fifth place,Paolo Vitug (UST),,"IMG_0998, IMG_0999"
1999-2000,Judo,Men's,Final Standings,6,FEU,Far Eastern University,0,,,Sixth place,Paolo Vitug (UST),,"IMG_0998, IMG_0999"
1999-2000,Judo,Women's,Final Standings,1,UP,University of the Philippines,4,,,Champion,Ma Cecilia Paras (UP),,IMG_1002
1999-2000,Judo,Women's,Final Standings,1,UST,University of Santo Tomas,3,,,W,Ma Cecilia Paras (UP),,IMG_1002
1999-2000,Judo,Women's,Final Standings,3,DLSU,De La Salle University,1,,,Third place,Ma Cecilia Paras (UP),,IMG_1002
1999-2000,Judo,Women's,Final Standings,4,ADMU,Ateneo de Manila University,1,,,Fourth place,Ma Cecilia Paras (UP),,IMG_1002
1999-2000,Judo,Women's,Final Standings,5,UE,University of the East,0,,,Fifth place,Ma Cecilia Paras (UP),,IMG_1002
1999-2000,Judo,Women's,Final Standings,6,FEU,Far Eastern University,0,,,Sixth place,Ma Cecilia Paras (UP),,IMG_1002
1999-2000,Lawn Tennis,Men's,Final Standings,1,UP,University of the Philippines,9,1,,Champion,Samuel Anthony Villar (UP),Gian Remigio (UP),IMG_1005
1999-2000,Lawn Tennis,Men's,Final Standings,2,ADMU,Ateneo de Manila University,8,1,,Runner-up,Samuel Anthony Villar (UP),Gian Remigio (UP),IMG_1005
1999-2000,Lawn Tennis,Men's,Final Standings,3,UST,University of Santo Tomas,7,3,,Third place,Samuel Anthony Villar (UP),Gian Remigio (UP),IMG_1005
1999-2000,Lawn Tennis,Men's,Final Standings,4,DLSU,De La Salle University,4,6,,Fourth place,Samuel Anthony Villar (UP),Gian Remigio (UP),IMG_1005
1999-2000,Lawn Tennis,Men's,Final Standings,5,AdU,Adamson University,1,9,,Fifth place,Samuel Anthony Villar (UP),Gian Remigio (UP),IMG_1005
1999-2000,Lawn Tennis,Men's,Final Standings,6,UE,University of the East,1,9,,Sixth place,Samuel Anthony Villar (UP),Gian Remigio (UP),IMG_1005
1999-2000,Softball,Men's,Final Standings,1,AdU,Adamson University,9,1,,Champion,Jenny De Jesus (AdU),Mary Glenn Enrique (UP),IMG_1011
1999-2000,Softball,Men's,Final Standings,2,UP,University of the Philippines,8,2,,Rookie of the Year,Jenny De Jesus (AdU),Mary Glenn Enrique (UP),IMG_1011
1999-2000,Softball,Men's,Final Standings,3,UE,University of the East,6,4,,Third place,Jenny De Jesus (AdU),Mary Glenn Enrique (UP),IMG_1011
1999-2000,Softball,Men's,Final Standings,4,UST,University of Santo Tomas,5,5,,Fourth place,Jenny De Jesus (AdU),Mary Glenn Enrique (UP),IMG_1011
1999-2000,Softball,Men's,Final Standings,5,DLSU,De La Salle University,2,8,,Fifth place,Jenny De Jesus (AdU),Mary Glenn Enrique (UP),IMG_1011
1999-2000,Softball,Men's,Final Standings,6,ADMU,Ateneo de Manila University,0,10,,Sixth place,Jenny De Jesus (AdU),Mary Glenn Enrique (UP),IMG_1011
1999-2000,Table Tennis,Juniors,Final Standings,1,AdU,Adamson University,,,,Champion,Jeffrey M. Santos (UE),,"IMG_1059, IMG_1060"
1999-2000,Table Tennis,Juniors,Final Standings,2,ADMU,Ateneo de Manila University,,,,Runner-up,Jeffrey M. Santos (UE),,"IMG_1059, IMG_1060"
1999-2000,Table Tennis,Juniors,Final Standings,3,UP,University of the Philippines,,,,Third place,Jeffrey M. Santos (UE),,"IMG_1059, IMG_1060"
1999-2000,Table Tennis,Juniors,Final Standings,4,UST,University of Santo Tomas,,,,Fourth place,Jeffrey M. Santos (UE),,"IMG_1059, IMG_1060"
1999-2000,Table Tennis,Juniors,Final Standings,5,DLSU,De La Salle University,,,,Fifth place,Jeffrey M. Santos (UE),,"IMG_1059, IMG_1060"
1999-2000,Table Tennis,Juniors,Final Standings,6,NU,National University,,,,Sixth place,Jeffrey M. Santos (UE),,"IMG_1059, IMG_1060"
1999-2000,Table Tennis,Juniors,Final Standings,7,UE,University of the East,,,,Seventh place,Jeffrey M. Santos (UE),,"IMG_1059, IMG_1060"
1999-2000,Table Tennis,Men's,Final Standings,1,UE,University of the East,,,,Champion,Alvin E. Remigio (UE),,"IMG_1014, IMG_1015"
1999-2000,Table Tennis,Men's,Final Standings,2,DLSU,De La Salle University,,,,Runner-up,Alvin E. Remigio (UE),,"IMG_1014, IMG_1015"
1999-2000,Table Tennis,Men's,Final Standings,3,UP,University of the Philippines,,,,Third place,Alvin E. Remigio (UE),,"IMG_1014, IMG_1015"
1999-2000,Table Tennis,Men's,Final Standings,4,UST,University of Santo Tomas,,,,Fourth place,Alvin E. Remigio (UE),,"IMG_1014, IMG_1015"
1999-2000,Table Tennis,Men's,Final Standings,5,AdU,Adamson University,,,,Fifth place,Alvin E. Remigio (UE),,"IMG_1014, IMG_1015"
1999-2000,Table Tennis,Men's,Final Standings,6,FEU,Far Eastern University,,,,Sixth place,Alvin E. Remigio (UE),,"IMG_1014, IMG_1015"
1999-2000,Table Tennis,Men's,Final Standings,7,ADMU,Ateneo de Manila University,,,,Seventh place,Alvin E. Remigio (UE),,"IMG_1014, IMG_1015"
1999-2000,Table Tennis,Men's,Final Standings,8,NU,National University,,,,Eighth place,Alvin E. Remigio (UE),,"IMG_1014, IMG_1015"
1999-2000,Table Tennis,Women's,Final Standings,1,UP,University of the Philippines,,,,14,Karen C. Jaleco (UP),,"IMG_1016, IMG_1017"
1999-2000,Table Tennis,Women's,Final Standings,2,DLSU,De La Salle University,,,,13,Karen C. Jaleco (UP),,"IMG_1016, IMG_1017"
1999-2000,Table Tennis,Women's,Final Standings,3,AdU,Adamson University,,,,10,Karen C. Jaleco (UP),,"IMG_1016, IMG_1017"
1999-2000,Table Tennis,Women's,Final Standings,4,UST,University of Santo Tomas,,,,12,Karen C. Jaleco (UP),,"IMG_1016, IMG_1017"
1999-2000,Table Tennis,Women's,Final Standings,5,FEU,Far Eastern University,,,,11,Karen C. Jaleco (UP),,"IMG_1016, IMG_1017"
1999-2000,Table Tennis,Women's,Final Standings,6,UE,University of the East,,,,9,Karen C. Jaleco (UP),,"IMG_1016, IMG_1017"
1999-2000,Table Tennis,Women's,Final Standings,7,ADMU,Ateneo de Manila University,,,,8,Karen C. Jaleco (UP),,"IMG_1016, IMG_1017"
1999-2000,Table Tennis,Women's,Final Standings,8,NU,National University,,,,6,Karen C. Jaleco (UP),,"IMG_1016, IMG_1017"
1999-2000,Tae Kwon Do,Juniors,Final Standings,1,ADMU,Ateneo de Manila University,,,,Champion,,,IMG_1066
1999-2000,Tae Kwon Do,Juniors,Final Standings,2,DLSZ,De La Salle Santiago Zobel School,,,,Runner-up,,,IMG_1066
1999-2000,Tae Kwon Do,Juniors,Final Standings,3,UE,University of the East,,,,Third place,,,IMG_1066
1999-2000,Tae Kwon Do,Men's,Final Standings,1,UST,University of Santo Tomas,5,1,,Champion,,,"IMG_1018, IMG_1019"
1999-2000,Tae Kwon Do,Men's,Final Standings,2,DLSU,De La Salle University,5,1,,4 - 2,,,"IMG_1018, IMG_1019"
1999-2000,Tae Kwon Do,Men's,Final Standings,3,UP,University of the Philippines,4,2,,Third place,,,"IMG_1018, IMG_1019"
1999-2000,Tae Kwon Do,Men's,Final Standings,4,FEU,Far Eastern University,4,2,,Fourth place,,,"IMG_1018, IMG_1019"
1999-2000,Tae Kwon Do,Men's,Final Standings,5,UE,University of the East,2,4,,Fifth place,,,"IMG_1018, IMG_1019"
1999-2000,Tae Kwon Do,Men's,Final Standings,6,ADMU,Ateneo de Manila University,1,5,,Sixth place,,,"IMG_1018, IMG_1019"
1999-2000,Tae Kwon Do,Men's,Final Standings,7,AdU,Adamson University,0,6,,Seventh place,,,"IMG_1018, IMG_1019"
1999-2000,Tae Kwon Do,Women's,Final Standings,1,UST,University of Santo Tomas,6,0,,Champion,,,"IMG_1019, IMG_1021"
1999-2000,Tae Kwon Do,Women's,Final Standings,2,UP,University of the Philippines,1,5,,2 - 5,,,"IMG_1019, IMG_1021"
1999-2000,Tae Kwon Do,Women's,Final Standings,3,ADMU,Ateneo de Manila University,3,3,,Third place,,,"IMG_1019, IMG_1021"
1999-2000,Tae Kwon Do,Women's,Final Standings,4,UE,University of the East,5,1,,Fourth place,,,"IMG_1019, IMG_1021"
1999-2000,Tae Kwon Do,Women's,Final Standings,5,FEU,Far Eastern University,4,2,,Fifth place,,,"IMG_1019, IMG_1021"
1999-2000,Tae Kwon Do,Women's,Final Standings,6,DLSU,De La Salle University,2,4,,Sixth place,,,"IMG_1019, IMG_1021"
1999-2000,Tae Kwon Do,Women's,Final Standings,7,AdU,Adamson University,0,6,,Seventh place,,,"IMG_1019, IMG_1021"
1999-2000,Volleyball,Boys,Final Standings,1,DLSZ,De La Salle Santiago Zobel School,10,0,,,Anthony Joseph Zara (DLS (Z)),,IMG_1061
1999-2000,Volleyball,Boys,Final Standings,2,UST,University of Santo Tomas,8,2,,,Anthony Joseph Zara (DLS (Z)),,IMG_1061
1999-2000,Volleyball,Boys,Final Standings,3,UE,University of the East,6,4,,,Anthony Joseph Zara (DLS (Z)),,IMG_1061
1999-2000,Volleyball,Boys,Final Standings,4,ADMU,Ateneo de Manila University,4,6,,,Anthony Joseph Zara (DLS (Z)),,IMG_1061
1999-2000,Volleyball,Boys,Final Standings,5,UP,University of the Philippines,2,8,,,Anthony Joseph Zara (DLS (Z)),,IMG_1061
1999-2000,Volleyball,Boys,Final Standings,6,NU,National University,0,10,,,Anthony Joseph Zara (DLS (Z)),,IMG_1061
1999-2000,Volleyball,Girls,Final Standings,1,UE,University of the East,6,0,,,Cherrie Mae Verzosa (UE),,IMG_1064
1999-2000,Volleyball,Girls,Final Standings,2,UST,University of Santo Tomas,4,2,,,Cherrie Mae Verzosa (UE),,IMG_1064
1999-2000,Volleyball,Girls,Final Standings,3,UP,University of the Philippines,2,4,,,Cherrie Mae Verzosa (UE),,IMG_1064
1999-2000,Volleyball,Girls,Final Standings,4,DLSZ,De La Salle Santiago Zobel School,0,6,,,Cherrie Mae Verzosa (UE),,IMG_1064
1999-2000,Volleyball,Juniors,Final Standings,1,DLSU,De La Salle University,10,0,,,,,structured/volleyball/1999-2000.json
1999-2000,Volleyball,Juniors,Final Standings,2,UST,University of Santo Tomas,8,2,,,,,structured/volleyball/1999-2000.json
1999-2000,Volleyball,Juniors,Final Standings,3,UE,University of the East,6,4,,,,,structured/volleyball/1999-2000.json
1999-2000,Volleyball,Juniors,Final Standings,4,ADMU,Ateneo de Manila University,4,6,,,,,structured/volleyball/1999-2000.json
1999-2000,Volleyball,Juniors,Final Standings,5,UP,University of the Philippines,2,8,,,,,structured/volleyball/1999-2000.json
1999-2000,Volleyball,Juniors,Final Standings,6,NU,National University,0,10,,,,,structured/volleyball/1999-2000.json
1999-2000,Volleyball,Men's,Final Standings,1,UST,University of Santo Tomas,14,0,,Runner-up,,,IMG_1023
1999-2000,Volleyball,Men's,Final Standings,1,FEU,Far Eastern University,10,4,,Champion,,,IMG_1023
1999-2000,Volleyball,Men's,Final Standings,3,AdU,Adamson University,8,6,,Third place,,,IMG_1023
1999-2000,Volleyball,Men's,Final Standings,4,DLSU,De La Salle University,9,5,,Fourth place,,,IMG_1023
1999-2000,Volleyball,Men's,Final Standings,5,UE,University of the East,8,6,,Fifth place,,,IMG_1023
1999-2000,Volleyball,Men's,Final Standings,6,UP,University of the Philippines,4,10,,Sixth place,,,IMG_1023
1999-2000,Volleyball,Men's,Final Standings,7,NU,National University,3,11,,Seventh place,,,IMG_1023
1999-2000,Volleyball,Men's,Final Standings,8,ADMU,Ateneo de Manila University,0,14,,Eighth place,,,IMG_1023
1999-2000,Volleyball,Women's,Final Standings,1,UST,University of Santo Tomas,13,1,,Runner-up,,,IMG_1027
1999-2000,Volleyball,Women's,Final Standings,1,DLSU,De La Salle University,11,3,,Champion,,,IMG_1027
1999-2000,Volleyball,Women's,Final Standings,3,AdU,Adamson University,9,5,,Third place,,,IMG_1027
1999-2000,Volleyball,Women's,Final Standings,4,FEU,Far Eastern University,9,5,,Fourth place,,,IMG_1027
1999-2000,Volleyball,Women's,Final Standings,5,UP,University of the Philippines,6,8,,Fifth place,,,IMG_1027
1999-2000,Volleyball,Women's,Final Standings,6,UE,University of the East,5,9,,Sixth place,,,IMG_1027
1999-2000,Volleyball,Women's,Final Standings,7,NU,National University,3,11,,Seventh place,,,IMG_1027
1999-2000,Volleyball,Women's,Final Standings,8,ADMU,Ateneo de Manila University,0,14,,Eighth place,,,IMG_1027
1998-1999,Badminton,Men's,Final Standings,1,UP,University of the Philippines,7,0,,Champion,Kennevic C. Asuncion (UP),,IMG_1292
